keyword,domains_count,domains,best_position,max_volume,min_kd,intents,source_types,top_urls
cours luxembourgeois,9,inlingua.lu | inll.lu | lifelong-learning.lu | luxlanguages.lu | luxlessons.lu | moienasbl.lu | prolingua.lu | sproochentest.etic.lu | unipop.lu,1,260,26,C,organic-position,https://www.inlingua.lu/adultes/adultes-cours-en-groupe | https://www.inll.lu/fr/langues/luxembourgeois/ | https://www.lifelong-learning.lu/recherche/formations/langues/luxembourgeois/fr | https://www.luxlanguages.lu/ | https://www.luxlanguages.lu/formations/
cours de luxembourgeois,7,educateme.lu | inll.lu | lifelong-learning.lu | luxlanguages.lu | luxlessons.lu | moienasbl.lu | prolingua.lu,2,720,21,I,organic-position,https://educateme.lu/tpost/ukdm5mo7s1-apprendre-le-luxembourgeois-sans-se-ruin | https://www.inll.lu/fr/cours-de-langue/ | https://www.lifelong-learning.lu/recherche/formations/langues/luxembourgeois/fr | https://www.luxlanguages.lu/ | https://www.luxlessons.lu/
french courses luxembourg,6,educateme.lu | inlingua.lu | institut-francais-luxembourg.lu | lifelong-learning.lu | luxlanguages.lu | prolingua.lu,2,390,14,C,organic-position,https://educateme.lu/ | https://educateme.lu/french-courses-online | https://www.inlingua.lu/en | https://www.inlingua.lu/en/adultes/adultes-cours-en-groupe | https://www.inlingua.lu/
language courses luxembourg,6,educateme.lu | inlingua.lu | inll.lu | luxlessons.lu | moienasbl.lu | prolingua.lu,1,320,21,C,organic-position,https://educateme.lu/learning-luxembourgish-short | https://www.inlingua.lu/en | https://www.inll.lu/en/institut-en/ | https://www.luxlessons.lu/ | https://moienasbl.lu/en/services/
cours de langue luxembourg,6,inlingua.lu | inll.lu | luxlanguages.lu | moienasbl.lu | prolingua.lu | unipop.lu,1,140,41,I,organic-position,https://www.inlingua.lu/ | https://www.inlingua.lu/adultes/adultes-cours-en-groupe | https://www.inll.lu/ | https://www.luxlanguages.lu/ | https://moienasbl.lu/services/cours-de-luxembourgeois/
courses in luxembourg,6,educateme.lu | inlingua.lu | luxlanguages.lu | moienasbl.lu | prolingua.lu | unipop.lu,19,110,22,C,organic-position,https://educateme.lu/ | https://www.inlingua.lu/en/adultes/adultes-cours-en-groupe | https://www.luxlanguages.lu/ | https://moienasbl.lu/en/services/ | https://moienasbl.lu/en/services/cours-de-luxembourgeois/
cours intensifs luxembourgeois,6,inlingua.lu | institut-francais-luxembourg.lu | luxlanguages.lu | moienasbl.lu | prolingua.lu | unipop.lu,3,70,15,C,organic-position,https://www.inlingua.lu/adultes/adultes-cours-en-groupe | https://www.inlingua.lu/ | https://institut-francais-luxembourg.lu/cours-collectifs-adultes-cours-intensifs/ | https://institut-francais-luxembourg.lu/cours-collectifs-adultes/ | https://www.luxlanguages.lu/
french lessons luxembourg,6,educateme.lu | inlingua.lu | institut-francais-luxembourg.lu | luxlanguages.lu | prolingua.lu | unipop.lu,6,30,11,C,organic-position,https://educateme.lu/french-courses-online | https://www.inlingua.lu/en/adultes/adultes-cours-en-groupe | https://www.inlingua.lu/en | https://institut-francais-luxembourg.lu/ | https://www.luxlanguages.lu/
cours de français luxembourg,5,inlingua.lu | institut-francais-luxembourg.lu | luxlanguages.lu | prolingua.lu | unipop.lu,5,140,16,C,organic-position,https://www.inlingua.lu/ | https://www.inlingua.lu/adultes/adultes-cours-individuels | https://institut-francais-luxembourg.lu/ | https://institut-francais-luxembourg.lu/cours-collectifs-adultes/ | https://institut-francais-luxembourg.lu/cours-collectifs-adultes-cours-du-samedi-matin/
cours intensif anglais luxembourg,5,inlingua.lu | lifelong-learning.lu | luxlanguages.lu | moienasbl.lu | prolingua.lu,1,40,16,C,organic-position,https://www.inlingua.lu/ | https://www.inlingua.lu/adultes/adultes-cours-en-groupe | https://www.inlingua.lu/en/adultes/adultes-cours-en-groupe | https://www.inlingua.lu/adultes | https://www.lifelong-learning.lu/recherche/formations/langues/anglais/fr
apprendre luxembourgeois en ligne,5,inlingua.lu | luxlanguages.lu | luxlessons.lu | moienasbl.lu | prolingua.lu,31,30,3,"I,T",organic-position,https://www.inlingua.lu/ | https://www.luxlanguages.lu/ | https://www.luxlanguages.lu/produit/e-learning-a1-luxembourgeois/ | https://www.luxlessons.lu/ | https://moienasbl.lu/services/
cours luxembourgeois luxembourg,5,inlingua.lu | luxlanguages.lu | moienasbl.lu | prolingua.lu | sproochentest.etic.lu,4,30,31,I,organic-position,https://www.inlingua.lu/ | https://www.luxlanguages.lu/ | https://www.luxlanguages.lu/formations/ | https://moienasbl.lu/services/cours-de-luxembourgeois/ | https://moienasbl.lu/services/
language courses,5,educateme.lu | inlingua.lu | luxlanguages.lu | moienasbl.lu | prolingua.lu,5,30,15,C,organic-position,https://educateme.lu/ | https://www.inlingua.lu/en | https://www.inlingua.lu/en/cours-enfants | https://www.inlingua.lu/en/adultes | https://www.luxlanguages.lu/
sproochentest,4,educateme.lu | inll.lu | luxlanguages.lu | luxlessons.lu,0,880,14,I,organic-position | top-organic-keyword,educateme.lu/tpost/7x4vcrtf51-surviving-the-sproochentest-essential-gu | https://educateme.lu/tpost/7x4vcrtf51-surviving-the-sproochentest-essential-gu | https://educateme.lu/tpost/7skm5rc9f1-booking-your-appointment-for-the-sprooch | https://educateme.lu/sproochentest | https://educateme.lu/tpost/fduufuslm1-survivre-au-sproochentest-un-guide-pour
formation lu,4,houseoftraining.lu | infpc.lu | lifelong-learning.lu | unipop.lu,1,720,31,I,organic-position,https://www.houseoftraining.lu/ | https://www.infpc.lu/trouver-une-formation/fr | https://www.lifelong-learning.lu/accueil/fr | https://www.unipop.lu/formation-professionnelle/
formation luxembourg,4,houseoftraining.lu | infpc.lu | lifelong-learning.lu | unipop.lu,0,720,38,C,organic-position | top-organic-keyword,https://www.houseoftraining.lu/ | https://www.infpc.lu/trouver-une-formation/fr | https://www.lifelong-learning.lu/accueil/fr | https://www.unipop.lu/formations/
learn luxembourgish online,4,educateme.lu | luxlanguages.lu | luxlessons.lu | moienasbl.lu,0,480,21,C,organic-position | top-organic-keyword,educateme.lu/learning-luxembourgish-short | https://educateme.lu/learning-luxembourgish-short | https://educateme.lu/luxembourgish-from-basic-to-advanced | https://www.luxlanguages.lu/ | https://www.luxlessons.lu/
formation,4,houseoftraining.lu | infpc.lu | lifelong-learning.lu | unipop.lu,1,260,32,C,organic-position,https://www.houseoftraining.lu/ | https://www.infpc.lu/trouver-une-formation/fr | https://www.infpc.lu/ | https://www.infpc.lu/qui-sommes-nous/fr | https://www.lifelong-learning.lu/accueil/fr
cours du soir luxembourg,4,houseoftraining.lu | infpc.lu | institut-francais-luxembourg.lu | lifelong-learning.lu,2,170,9,C,organic-position,https://www.houseoftraining.lu/ | https://www.infpc.lu/trouver-une-formation/fr | https://institut-francais-luxembourg.lu/cours-collectifs-adultes-cours-du-soir-en-ligne/ | https://www.lifelong-learning.lu/recherche/formation/fr?keyword=slot(evening)
sproochentest luxembourg,4,educateme.lu | inll.lu | luxlessons.lu | sproochentest.etic.lu,1,170,15,"I | I,N",organic-position | top-organic-keyword,educateme.lu/tpost/7skm5rc9f1-booking-your-appointment-for-the-sprooch | https://educateme.lu/tpost/7skm5rc9f1-booking-your-appointment-for-the-sprooch | https://educateme.lu/tpost/7x4vcrtf51-surviving-the-sproochentest-essential-gu | https://educateme.lu/tpost/fduufuslm1-survivre-au-sproochentest-un-guide-pour | https://educateme.lu/tpost/yz74frb8t1-rserver-votre-rendez-vous-pour-le-sprooc
cours en ligne luxembourg,4,educateme.lu | institut-francais-luxembourg.lu | sproochentest.etic.lu | unipop.lu,6,110,11,C,organic-position,https://educateme.lu/fr | https://institut-francais-luxembourg.lu/cours-collectifs-adultes-cours-du-soir-en-ligne/ | https://institut-francais-luxembourg.lu/cours-collectifs-adultes-cours-du-samedi-matin/ | https://moodle.etic.lu/course/index.php?categoryid=1 | https://www.unipop.lu/formations/langues/
luxembourgish online course,4,educateme.lu | luxlanguages.lu | luxlessons.lu | moienasbl.lu,0,90,17,I,organic-position | top-organic-keyword,educateme.lu/intensive-luxembourgish | https://educateme.lu/intensive-luxembourgish | https://www.luxlanguages.lu/ | https://www.luxlessons.lu/ | https://moienasbl.lu/en/services/cours-de-luxembourgeois/
cours d anglais luxembourg,4,inlingua.lu | luxlanguages.lu | moienasbl.lu | prolingua.lu,3,70,19,C,organic-position,https://www.inlingua.lu/ | https://www.inlingua.lu/cours-enfants | https://www.inlingua.lu/adultes/adultes-cours-en-groupe | https://www.luxlanguages.lu/ | https://moienasbl.lu/services/cours-de-luxembourgeois/
inll sproochentest,4,educateme.lu | luxlanguages.lu | luxlessons.lu | moienasbl.lu,16,70,14,"N,T",organic-position,https://educateme.lu/tpost/7skm5rc9f1-booking-your-appointment-for-the-sprooch | https://educateme.lu/tpost/fduufuslm1-survivre-au-sproochentest-un-guide-pour | https://educateme.lu/tpost/yz74frb8t1-rserver-votre-rendez-vous-pour-le-sprooc | https://educateme.lu/tpost/7x4vcrtf51-surviving-the-sproochentest-essential-gu | https://www.luxlanguages.lu/sproochentest-tout-ce-quil-faut-savoir-pour-reussir-le-test-de-luxembourgeois/
apprendre luxembourgeois,4,inlingua.lu | luxlanguages.lu | luxlessons.lu | prolingua.lu,10,50,14,I,organic-position,https://www.inlingua.lu/ | https://www.luxlanguages.lu/ | https://www.luxlessons.lu/ | https://prolingua.lu/fr/formations_8/langue/luxembourgeois_9/
french classes luxembourg,3,inll.lu | lifelong-learning.lu | prolingua.lu,1,390,14,C,organic-position,https://www.inll.lu/de/sprachen/franzoesisch/ | https://www.lifelong-learning.lu/recherche/formations/langues/francais-langue-etrangere/de | https://prolingua.lu/en/courses_25/langue/french_7/
inl sproochentest,3,educateme.lu | inll.lu | luxlessons.lu,1,210,22,N,organic-position,educateme.lu/tpost/7skm5rc9f1-booking-your-appointment-for-the-sprooch | https://educateme.lu/tpost/7skm5rc9f1-booking-your-appointment-for-the-sprooch | https://educateme.lu/tpost/7x4vcrtf51-surviving-the-sproochentest-essential-gu | https://educateme.lu/tpost/fduufuslm1-survivre-au-sproochentest-un-guide-pour | https://educateme.lu/tpost/yz74frb8t1-rserver-votre-rendez-vous-pour-le-sprooc
langue luxembourg,3,inlingua.lu | luxlanguages.lu | unipop.lu,14,210,33,I,organic-position,https://www.inlingua.lu/ | https://www.luxlanguages.lu/ | https://www.unipop.lu/formations/langues/
formation continue luxembourg,3,houseoftraining.lu | infpc.lu | lifelong-learning.lu,1,140,29,C,organic-position,https://www.houseoftraining.lu/ | https://www.infpc.lu/trouver-une-formation/fr | https://www.lifelong-learning.lu/accueil/fr
cours luxembourgeois en ligne,3,luxlessons.lu | moienasbl.lu | unipop.lu,4,90,10,"C,I",organic-position,https://www.luxlessons.lu/ | https://moienasbl.lu/services/cours-de-luxembourgeois/ | https://www.unipop.lu/formations/langues/
language school luxembourg,3,educateme.lu | inlingua.lu | luxlessons.lu,2,90,22,C,organic-position,https://educateme.lu/ | https://www.inlingua.lu/en | https://www.luxlessons.lu/
sproochentest lëtzebuergesch,3,educateme.lu | luxlessons.lu | sproochentest.etic.lu,5,70,17,"I,T",organic-position,https://educateme.lu/tpost/7skm5rc9f1-booking-your-appointment-for-the-sprooch | https://www.luxlessons.lu/sproochentest-letzebuergesch | https://sproochentest.etic.lu/?lang=de | https://sproochentest.etic.lu/
cours anglais intensif luxembourg,3,inlingua.lu | luxlanguages.lu | prolingua.lu,3,40,15,C,organic-position,https://www.inlingua.lu/ | https://www.luxlanguages.lu/ | https://prolingua.lu/
cours luxembourgeois intensif,3,luxlanguages.lu | moienasbl.lu | prolingua.lu,4,40,15,C,organic-position,https://www.luxlanguages.lu/ | https://moienasbl.lu/services/ | https://prolingua.lu/fr/formations_8/langue/luxembourgeois_9/
apprendre le luxembourgeois rapidement,3,moienasbl.lu | prolingua.lu | unipop.lu,10,30,9,I,organic-position,https://moienasbl.lu/services/cours-de-luxembourgeois/ | https://prolingua.lu/fr/formations_8/langue/luxembourgeois_9/ | https://prolingua.lu/fr/actualites_19/apprendre-le-luxembourgeois-une-langue-au-service-de-l-integration_70/ | https://prolingua.lu/en/courses_25/langue/luxembourgish_9/ | https://www.unipop.lu/formations/langues/
cours de français,3,institut-francais-luxembourg.lu | luxlanguages.lu | prolingua.lu,7,30,14,C,organic-position,https://institut-francais-luxembourg.lu/ | https://institut-francais-luxembourg.lu/certifications/ | https://institut-francais-luxembourg.lu/cours-collectifs-adultes/ | https://www.luxlanguages.lu/ | https://prolingua.lu/
cours de langue française,3,institut-francais-luxembourg.lu | luxlanguages.lu | prolingua.lu,5,30,15,C,organic-position,https://institut-francais-luxembourg.lu/ | https://institut-francais-luxembourg.lu/cours-collectifs-adultes-cours-du-soir-en-ligne/ | https://institut-francais-luxembourg.lu/certifications/ | https://www.luxlanguages.lu/ | https://prolingua.lu/fr/formations_8/langue/francais_7/
cours intensif luxembourgeois,3,institut-francais-luxembourg.lu | moienasbl.lu | unipop.lu,2,30,24,C,organic-position,https://institut-francais-luxembourg.lu/cours-collectifs-adultes-cours-intensifs/ | https://moienasbl.lu/services/cours-de-luxembourgeois/ | https://www.unipop.lu/formations/langues/
house of training,2,houseoftraining.lu | lifelong-learning.lu,1,6600,48,N,organic-position,https://www.houseoftraining.lu/ | https://www.lifelong-learning.lu/recherche/formateur/en?keyword=organism(485ded4a-7761-4b91-b17f-bccd1ce3a942)
marketing digital,2,houseoftraining.lu | lifelong-learning.lu,2,4400,27,I,organic-position,https://www.houseoftraining.lu/training/marketing-digital-au-luxembourg-marketing-digital-pour-marketeur-12267 | https://www.lifelong-learning.lu/recherche/formations/gestion-commerciale/marketing-electronique/fr
inl luxembourg,2,inlingua.lu | inll.lu,0,2400,26,N,organic-position | top-organic-keyword,https://www.inlingua.lu/ | https://www.inll.lu/de/ | https://www.inll.lu/de/myinl-de/ | https://www.inll.lu/de/sprachkurse/ | https://myinl.inll.lu/
cnfpc,2,infpc.lu | lifelong-learning.lu,4,1000,21,N,organic-position,https://www.infpc.lu/cofinancement-de-la-formation/fr | https://www.lifelong-learning.lu/lexique/cnfpc/de
vivre ensemble au grand duché de luxembourg,2,lifelong-learning.lu | unipop.lu,0,1000,15,I,organic-position | top-organic-keyword,https://www.lifelong-learning.lu/formations-continues-reglementees/acquisition-de-la-nationalite-luxembourgeoise/fr | https://www.unipop.lu/formations/citoyennete-et-integration/
lifelong learning,2,infpc.lu | lifelong-learning.lu,1,880,18,"I,T",organic-position,https://www.infpc.lu/trouver-une-formation/de | https://www.lifelong-learning.lu/accueil/de | https://www.lifelong-learning.lu/formation-tout-au-long-de-la-vie/de | https://www.lifelong-learning.lu/particuliers/de | https://www.lifelong-learning.lu/formateur/luxembourg-lifelong-learning-centre-de-la-chambre-des-salaries/de
eformation lu,2,educateme.lu | infpc.lu,12,720,21,"I,T",organic-position,https://educateme.lu/fr | https://www.infpc.lu/ | https://www.infpc.lu/trouver-une-formation/fr
lifelong learning luxembourg,2,infpc.lu | lifelong-learning.lu,1,590,23,C,organic-position,https://www.infpc.lu/trouver-une-formation/de | https://www.lifelong-learning.lu/accueil/de | https://www.lifelong-learning.lu/particuliers/de | https://www.lifelong-learning.lu/formateur/luxembourg-lifelong-learning-centre-de-la-chambre-des-salaries/de | https://www.lifelong-learning.lu/formation-tout-au-long-de-la-vie/de
luxembourg language,2,educateme.lu | luxlessons.lu,9,590,36,I,organic-position,educateme.lu/tpost/g1z53b3p81-30-basic-luxembourgish-words-you-need-to | https://educateme.lu/tpost/g1z53b3p81-30-basic-luxembourgish-words-you-need-to | https://educateme.lu/tpost/zf8pv7a751-luxembourgish-language-levels-explained | https://www.luxlessons.lu/
first aid course,2,houseoftraining.lu | lifelong-learning.lu,1,390,14,I,organic-position,https://www.houseoftraining.lu/en_GB/training/first-aid-training-4487 | https://www.lifelong-learning.lu/recherche/formations/defense-prevention-securite/securite-civile/en
français luxembourgeois,2,institut-francais-luxembourg.lu | luxlanguages.lu,17,320,19,I,organic-position,https://institut-francais-luxembourg.lu/ | https://www.luxlanguages.lu/
inl lu,2,inlingua.lu | inll.lu,1,320,32,N,organic-position,https://www.inlingua.lu/ | https://www.inll.lu/
learn luxembourgish,2,educateme.lu | luxlessons.lu,0,320,28,I,organic-position | top-organic-keyword,educateme.lu/learning-luxembourgish-short | https://educateme.lu/learning-luxembourgish-short | https://www.luxlessons.lu/ | https://www.luxlessons.lu/luxembourgish-course
apprendre le luxembourgeois,2,educateme.lu | unipop.lu,18,260,7,I,organic-position,https://educateme.lu/tpost/ukdm5mo7s1-apprendre-le-luxembourgeois-sans-se-ruin | https://www.unipop.lu/formations/langues/
e formation,2,houseoftraining.lu | infpc.lu,11,260,32,"I,N",organic-position,https://www.houseoftraining.lu/page/nos-formations-a-distance | https://www.infpc.lu/trouver-une-formation/fr
inl mersch,2,inlingua.lu | inll.lu,1,260,20,N,organic-position,https://www.inlingua.lu/ | https://www.inll.lu/
prolingua luxembourg,2,inlingua.lu | prolingua.lu,0,260,21,N,organic-position | top-organic-keyword,https://www.inlingua.lu/ | https://www.inlingua.lu/a-propos-inlingua-luxembourg | https://www.inlingua.lu/en | https://prolingua.lu/
apprentissage adulte,2,infpc.lu | unipop.lu,12,210,22,I,organic-position,https://www.infpc.lu/trouver-une-formation/fr | https://www.unipop.lu/enseignement-formel-pour-adultes/
cours,2,moienasbl.lu | unipop.lu,17,140,67,I,organic-position,https://moienasbl.lu/services/cours-de-luxembourgeois/ | https://www.unipop.lu/formations/langues/
formations continue,2,houseoftraining.lu | lifelong-learning.lu,1,140,28,I,organic-position,https://www.houseoftraining.lu/ | https://www.lifelong-learning.lu/accueil/fr
luxembourg cours de langue,2,luxlessons.lu | unipop.lu,4,140,33,C,organic-position,https://www.luxlessons.lu/ | https://www.unipop.lu/formations/langues/
schwätzt dir lëtzebuergesch a2 pdf,2,inll.lu | moienasbl.lu,1,140,13,"I,T",organic-position,https://sdl.inll.lu/ | https://moienasbl.lu/liens/
cours anglais luxembourg,2,prolingua.lu | unipop.lu,3,110,17,C,organic-position,https://prolingua.lu/ | https://www.unipop.lu/formations/langues/
cours luxembourgeois en ligne gratuit,2,luxlessons.lu | sproochentest.etic.lu,58,110,17,I,organic-position,https://www.luxlessons.lu/ | https://moodle.etic.lu/course/index.php?categoryid=1
formation professionnelle luxembourg,2,infpc.lu | unipop.lu,3,110,37,C,organic-position,https://www.infpc.lu/trouver-une-formation/fr | https://www.unipop.lu/formation-professionnelle/
langue lu,2,luxlanguages.lu | unipop.lu,8,70,27,I,organic-position,https://www.luxlanguages.lu/ | https://www.unipop.lu/formations/langues/
learn luxembourgish book,2,educateme.lu | luxlessons.lu,16,70,7,I,organic-position,https://educateme.lu/luxembourgish-from-basic-to-advanced | https://www.luxlessons.lu/
sproochentest examples,2,educateme.lu | luxlessons.lu,3,70,3,"I,T",organic-position,https://educateme.lu/tpost/7x4vcrtf51-surviving-the-sproochentest-essential-gu | https://www.luxlessons.lu/sproochentest-letzebuergesch
cours allemand luxembourg,2,prolingua.lu | unipop.lu,4,50,13,C,organic-position,https://prolingua.lu/ | https://www.unipop.lu/formations/langues/
formation anglais luxembourg,2,luxlanguages.lu | unipop.lu,4,50,0,C,organic-position,https://www.luxlanguages.lu/ | https://www.unipop.lu/formations/langues/
formation professionnelle,2,infpc.lu | unipop.lu,4,50,40,C,organic-position,https://www.infpc.lu/ | https://www.unipop.lu/formation-professionnelle/
cours de francais au luxembourg,2,institut-francais-luxembourg.lu | prolingua.lu,4,40,9,C,organic-position,https://institut-francais-luxembourg.lu/ | https://institut-francais-luxembourg.lu/cours-collectifs-adultes-cours-intensifs/ | https://institut-francais-luxembourg.lu/cours-collectifs-adultes-cours-du-soir-en-ligne/ | https://institut-francais-luxembourg.lu/cours-collectifs-adultes-ateliers-de-conversation/ | https://institut-francais-luxembourg.lu/cours-collectifs-adultes/
cours de langue,2,luxlanguages.lu | prolingua.lu,3,40,26,C,organic-position,https://www.luxlanguages.lu/ | https://prolingua.lu/
curso frances luxemburgo,2,institut-francais-luxembourg.lu | luxlanguages.lu,5,40,12,C,organic-position,https://institut-francais-luxembourg.lu/ | https://institut-francais-luxembourg.lu/certifications/ | https://www.luxlanguages.lu/
formation agile,2,houseoftraining.lu | lifelong-learning.lu,1,40,7,I,organic-position,https://www.houseoftraining.lu/training/methode-agile-scrum-4738 | https://www.lifelong-learning.lu/recherche/formations/informatique/methode-agile/fr
formation lucien huss,2,luxlanguages.lu | unipop.lu,19,40,4,N,organic-position,https://www.luxlanguages.lu/ | https://www.unipop.lu/formations/langues/
cours d anglais intensif luxembourg,2,prolingua.lu | unipop.lu,3,30,15,C,organic-position,https://prolingua.lu/ | https://www.unipop.lu/formations/langues/
cours de soir luxembourg,2,institut-francais-luxembourg.lu | unipop.lu,7,30,17,C,organic-position,https://institut-francais-luxembourg.lu/cours-collectifs-adultes-cours-du-soir-en-ligne/ | https://www.unipop.lu/
formation professionnel,2,infpc.lu | unipop.lu,3,30,20,C,organic-position,https://www.infpc.lu/trouver-une-formation/fr | https://www.unipop.lu/formation-professionnelle/
pwc luxembourg,1,pwc.lu,1,6600,43,N,organic-position,https://www.pwc.lu/
université luxembourg,1,unipop.lu,0,6600,51,N,organic-position | top-organic-keyword,https://www.unipop.lu/
belval université,1,unipop.lu,17,4400,30,N,organic-position,https://www.unipop.lu/
indexation luxembourg 2025,1,pwc.lu,12,4400,17,I,organic-position,https://www.pwc.lu/en/newsletter/2025/parametres-sociaux-mai-2025.html
inl,1,inll.lu,0,4400,29,N,organic-position | top-organic-keyword,https://www.inll.lu/de/ | https://www.inll.lu/de/myinl-de/ | https://myinl.inll.lu/ | https://www.inll.lu/de/poterkescht-4/ | https://myinl.inll.lu/web/login
inll,1,inll.lu,0,4400,37,N,organic-position | top-organic-keyword,https://www.inll.lu/de/
université belval,1,unipop.lu,0,4400,26,I,organic-position | top-organic-keyword,https://www.unipop.lu/
wealth management,1,pwc.lu,5,3600,28,C,organic-position,https://www.pwc.lu/en/asset-management.html
chambre de commerce luxembourg,1,lifelong-learning.lu,5,2900,30,N,organic-position,https://www.lifelong-learning.lu/formateur/chambre-de-commerce/fr
national language institute,1,inll.lu,0,2900,29,N,organic-position | top-organic-keyword,https://www.inll.lu/en/
professional development,1,lifelong-learning.lu,5,2900,34,I,organic-position,https://www.lifelong-learning.lu/recherche/sous-domaines-de-formation/developpement-personnel-et-professionnel/en
continuing education,1,lifelong-learning.lu,2,2400,28,I,organic-position,https://www.lifelong-learning.lu/accueil/en | https://www.lifelong-learning.lu/formations-continues-reglementees/en
salaire minimum luxembourg 2025,1,pwc.lu,9,2400,24,I,organic-position,https://www.pwc.lu/en/newsletter/2025/parametres-sociaux-1er-janvier-2025.html
myinl,1,inll.lu,0,1900,12,N,organic-position | top-organic-keyword,https://myinl.inll.lu/web/login | https://myinl.inll.lu/ | https://myinl.inll.lu/fr_FR | https://myinl.inll.lu/fr_FR/web/login | https://www.inll.lu/de/myinl-de/
house of entrepreneurship,1,houseoftraining.lu,3,1600,26,N,organic-position,https://www.houseoftraining.lu/en_GB/training/domain/entrepreneurship-business-management-161
pwc,1,pwc.lu,1,1600,66,"I,N",organic-position,https://www.pwc.lu/
ambassade de france luxembourg,1,institut-francais-luxembourg.lu,0,1000,27,I,organic-position | top-organic-keyword,https://institut-francais-luxembourg.lu/
education,1,educateme.lu,31,1000,56,"I,T",organic-position,https://educateme.lu/fr
education application,1,educateme.lu,0,1000,18,"N,T",organic-position | top-organic-keyword,https://educateme.lu/fr
indice luxembourg 2023,1,pwc.lu,4,1000,10,I,organic-position,https://www.pwc.lu/en/newsletter/2023/social-parameters-on-1st-september-2023-vf.html
my inl,1,inll.lu,1,1000,19,"N,T",organic-position,https://myinl.inll.lu/
université de luxembourg,1,unipop.lu,12,1000,61,N,organic-position,https://www.unipop.lu/
ambassade de france,1,institut-francais-luxembourg.lu,49,880,32,C,organic-position,https://institut-francais-luxembourg.lu/
workiva,1,pwc.lu,3,880,52,N,organic-position,https://www.pwc.lu/en/alliances/workiva.html
aifmd,1,pwc.lu,3,720,20,I,organic-position,https://www.pwc.lu/en/alternative-investments/aifmd.html
code du travail luxembourg,1,lifelong-learning.lu,7,720,14,"I,T",organic-position,https://www.lifelong-learning.lu/formation/le-code-du-travail-s-dt0001/fr
formation agent de sécurité luxembourg,1,lifelong-learning.lu,3,720,8,C,organic-position,https://www.lifelong-learning.lu/recherche/formations/defense-prevention-securite/surveillance-protection-gardiennage/fr
lllc,1,lifelong-learning.lu,2,720,15,I,organic-position,https://www.lifelong-learning.lu/formateur/luxembourg-lifelong-learning-centre-de-la-chambre-des-salaries/de
luxembourg stock exchange,1,pwc.lu,4,720,26,N,organic-position,https://www.pwc.lu/en/capital-markets/docs/pwc-luxembourg-stock-exchange.pdf
minimum salary luxembourg,1,pwc.lu,4,720,13,I,organic-position,https://www.pwc.lu/en/newsletter/2026/social-parameters-jan-2026.html
nationalité luxembourgeoise,1,lifelong-learning.lu,7,720,17,I,organic-position,https://www.lifelong-learning.lu/formations-continues-reglementees/acquisition-de-la-nationalite-luxembourgeoise/fr
service de la formation des adultes,1,infpc.lu,5,720,15,"I,T",organic-position,https://www.infpc.lu/trouver-une-formation/fr
